VehicleID,Lane,Frame,Timestamp
1548,1,7949,00:04:24
1575,1,8012,00:04:27
1556,1,8016,00:04:27
1584,1,8031,00:04:27
1596,1,8074,00:04:29
1554,1,8086,00:04:29
1557,1,8161,00:04:32
1626,1,8201,00:04:33
1607,1,8250,00:04:35
1669,1,8367,00:04:38
1661,1,8374,00:04:39
1652,1,8412,00:04:40
1654,1,8434,00:04:41
1663,1,8468,00:04:42
1678,1,8468,00:04:42
1641,1,8518,00:04:43
1694,1,8551,00:04:45
1676,1,8590,00:04:46
1732,1,8593,00:04:46
1728,1,8664,00:04:48
1736,1,8697,00:04:49
1757,2,8794,00:04:53
1762,1,8807,00:04:53
1755,1,8836,00:04:54
1758,1,8902,00:04:56
1809,1,9054,00:05:01
1819,2,9071,00:05:02
1815,1,9097,00:05:03
